ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,8304.069194226,1750.3038703587256,12577.152405601784,8304.069194226,8304.069194226,-1302.7758144908066,-1302.7758144908066,-1302.7758144908066,-222.49968255126853,-222.49968255126853,-222.49968255126853,-1080.276131939538,-1080.276131939538,-1080.276131939538,0.0,0.0,0.0,7001.293379735193
2023-01-02,8308.256146037575,1570.2455896309705,12689.30684599768,8308.256146037575,8308.256146037575,-1058.8935612854139,-1058.8935612854139,-1058.8935612854139,-83.55953958937874,-83.55953958937874,-83.55953958937874,-975.334021696035,-975.334021696035,-975.334021696035,0.0,0.0,0.0,7249.362584752161
2023-01-03,8312.443097849151,1551.9569846458394,13028.453776535367,8312.443097849151,8312.443097849151,-920.8707113136418,-920.8707113136418,-920.8707113136418,-62.9642597564636,-62.9642597564636,-62.9642597564636,-857.9064515571782,-857.9064515571782,-857.9064515571782,0.0,0.0,0.0,7391.572386535509
2023-01-04,8316.630049660727,2742.6393834599658,14425.736022320269,8316.630049660727,8316.630049660727,-212.48623608705947,-212.48623608705947,-212.48623608705947,516.0666315626884,516.0666315626884,516.0666315626884,-728.5528676497479,-728.5528676497479,-728.5528676497479,0.0,0.0,0.0,8104.143813573668
2023-01-05,8320.817001472304,3084.740212278438,14958.65941991851,8320.817001472304,8320.817001472304,448.13735952763795,448.13735952763795,448.13735952763795,1036.1992877420082,1036.1992877420082,1036.1992877420082,-588.0619282143703,-588.0619282143703,-588.0619282143703,0.0,0.0,0.0,8768.954360999942
2023-01-06,8325.003953283878,1821.4089109297445,13052.511031044836,8325.003953283878,8325.003953283878,-781.4786078009439,-781.4786078009439,-781.4786078009439,-344.0282146959189,-344.0282146959189,-344.0282146959189,-437.4503931050251,-437.4503931050251,-437.4503931050251,0.0,0.0,0.0,7543.525345482934
2023-01-07,8329.190905095455,1704.6078510944371,12722.06399547725,8329.190905095455,8329.190905095455,-1117.1706480452,-1117.1706480452,-1117.1706480452,-839.2142227095114,-839.2142227095114,-839.2142227095114,-277.95642533568866,-277.95642533568866,-277.95642533568866,0.0,0.0,0.0,7212.020257050254
2023-01-08,8333.377856907031,2496.321057111718,13749.01286058261,8333.377856907031,8333.377856907031,-333.5268974909615,-333.5268974909615,-333.5268974909615,-222.49968255140294,-222.49968255140294,-222.49968255140294,-111.02721493955855,-111.02721493955855,-111.02721493955855,0.0,0.0,0.0,7999.85095941607
2023-01-09,8337.564808718605,2919.0310247222633,14032.80144052688,8337.564808718605,8337.564808718605,-21.860533577853754,-21.860533577853754,-21.860533577853754,-83.55953958973144,-83.55953958973144,-83.55953958973144,61.699006011877685,61.699006011877685,61.699006011877685,0.0,0.0,0.0,8315.704275140752
2023-01-10,8341.751760530182,3086.4373467318496,14050.955170415304,8341.751760530182,8341.751760530182,175.45206773020053,175.45206773020053,175.45206773020053,-62.96425975561907,-62.96425975561907,-62.96425975561907,238.41632748581958,238.41632748581958,238.41632748581958,0.0,0.0,0.0,8517.203828260383
2023-01-11,8345.938712341758,3569.01064276085,14747.27807983296,8345.938712341758,8345.938712341758,933.2461480192721,933.2461480192721,933.2461480192721,516.0666315593629,516.0666315593629,516.0666315593629,417.17951645990917,417.17951645990917,417.17951645990917,0.0,0.0,0.0,9279.18486036103
2023-01-12,8350.125664153335,4513.675627387454,15242.158493683324,8350.125664153335,8350.125664153335,1632.136110944055,1632.136110944055,1632.136110944055,1036.1992877413281,1036.1992877413281,1036.1992877413281,595.9368232027268,595.9368232027268,595.9368232027268,0.0,0.0,0.0,9982.26177509739
2023-01-13,8354.31261596491,2870.228323830931,14468.302901826532,8354.31261596491,8354.31261596491,428.5383449010198,428.5383449010198,428.5383449010198,-344.02821469730804,-344.02821469730804,-344.02821469730804,772.5665595983278,772.5665595983278,772.5665595983278,0.0,0.0,0.0,8782.85096086593
2023-01-14,8358.499288821076,2963.477614945568,14085.350735417736,8358.499288821076,8358.499288821076,105.70242381856654,105.70242381856654,105.70242381856654,-839.2142227087639,-839.2142227087639,-839.2142227087639,944.9166465273305,944.9166465273305,944.9166465273305,0.0,0.0,0.0,8464.201712639642
2023-01-15,8362.685961677244,3497.2750422964086,14280.109595815013,8362.685961677244,8362.685961677244,888.3465408864906,888.3465408864906,888.3465408864906,-222.49968255070794,-222.49968255070794,-222.49968255070794,1110.8462234371984,1110.8462234371984,1110.8462234371984,0.0,0.0,0.0,9251.032502563734
2023-01-16,8366.872634533409,3892.901068438706,15179.039283396214,8366.872634533409,8366.872634533409,1184.7087929966526,1184.7087929966526,1184.7087929966526,-83.5595395883289,-83.5595395883289,-83.5595395883289,1268.2683325849814,1268.2683325849814,1268.2683325849814,0.0,0.0,0.0,9551.581427530062
2023-01-17,8371.059307389576,3771.7973013689675,15434.082169688294,8371.059307389576,8371.059307389576,1352.2283759298325,1352.2283759298325,1352.2283759298325,-62.96425975577724,-62.96425975577724,-62.96425975577724,1415.1926356856097,1415.1926356856097,1415.1926356856097,0.0,0.0,0.0,9723.28768331941
2023-01-18,8375.245980245743,4455.933304941497,15958.582516033963,8375.245980245743,8375.245980245743,2065.833725519075,2065.833725519075,2065.833725519075,516.0666315600182,516.0666315600182,516.0666315600182,1549.7670939590564,1549.7670939590564,1549.7670939590564,0.0,0.0,0.0,10441.079705764818
2023-01-19,8379.43265310191,5460.822524017706,16712.15722389695,8379.43265310191,8379.43265310191,2706.516832698634,2706.516832698634,2706.516832698634,1036.1992877410562,1036.1992877410562,1036.1992877410562,1670.3175449575776,1670.3175449575776,1670.3175449575776,0.0,0.0,0.0,11085.949485800546
2023-01-20,8383.619325958076,4062.5252068815257,15608.829407503086,8383.619325958076,8383.619325958076,1431.355926874055,1431.355926874055,1431.355926874055,-344.02821469816416,-344.02821469816416,-344.02821469816416,1775.3841415722193,1775.3841415722193,1775.3841415722193,0.0,0.0,0.0,9814.975252832131
2023-01-21,8387.805998814243,3985.322324872558,14894.705314683466,8387.805998814243,8387.805998814243,1024.5394570590042,1024.5394570590042,1024.5394570590042,-839.2142227095286,-839.2142227095286,-839.2142227095286,1863.7536797685327,1863.7536797685327,1863.7536797685327,0.0,0.0,0.0,9412.345455873248
2023-01-22,8391.99267167041,4733.1758252979025,15362.140828013533,8391.99267167041,8391.99267167041,1711.987248074957,1711.987248074957,1711.987248074957,-222.49968255001295,-222.49968255001295,-222.49968255001295,1934.48693062497,1934.48693062497,1934.48693062497,0.0,0.0,0.0,10103.979919745367
2023-01-23,8396.179344526578,4521.080492565867,15933.117104349656,8396.179344526578,8396.179344526578,1903.3806674385833,1903.3806674385833,1903.3806674385833,-83.55953958942005,-83.55953958942005,-83.55953958942005,1986.9402070280034,1986.9402070280034,1986.9402070280034,0.0,0.0,0.0,10299.56001196516
2023-01-24,8400.366017382743,4750.847138535624,15890.564052920636,8400.366017382743,8400.366017382743,1957.816273315755,1957.816273315755,1957.816273315755,-62.96425975593549,-62.96425975593549,-62.96425975593549,2020.7805330716908,2020.7805330716908,2020.7805330716908,0.0,0.0,0.0,10358.182290698498
2023-01-25,8404.5470990212,5478.364298371018,16649.481973496826,8404.5470990212,8404.5470990212,2552.060572823718,2552.060572823718,2552.060572823718,516.0666315608385,516.0666315608385,516.0666315608385,2035.9939412628792,2035.9939412628792,2035.9939412628792,0.0,0.0,0.0,10956.607671844919
2023-01-26,8408.728180659658,5859.3046593185545,17171.607321010255,8408.728180659658,8408.728180659658,3069.085882638309,3069.085882638309,3069.085882638309,1036.1992877405803,1036.1992877405803,1036.1992877405803,2032.886594897729,2032.886594897729,2032.886594897729,0.0,0.0,0.0,11477.814063297967
2023-01-27,8412.909262298115,4478.697659249736,15489.168084730256,8412.909262298115,8412.909262298115,1668.0504011579671,1668.0504011579671,1668.0504011579671,-344.02821469417,-344.02821469417,-344.02821469417,2012.078615852137,2012.078615852137,2012.078615852137,0.0,0.0,0.0,10080.959663456082
2023-01-28,8417.090343936572,4238.81844463467,15297.053340559121,8417.090343936572,8417.090343936572,1135.2764638338094,1135.2764638338094,1135.2764638338094,-839.2142227096815,-839.2142227096815,-839.2142227096815,1974.490686543491,1974.490686543491,1974.490686543491,0.0,0.0,0.0,9552.36680777038
2023-01-29,8421.271425575029,4404.854136693047,15903.53301013036,8421.271425575029,8421.271425575029,1698.8240012453716,1698.8240012453716,1698.8240012453716,-222.499682549318,-222.499682549318,-222.499682549318,1921.3236837946897,1921.3236837946897,1921.3236837946897,0.0,0.0,0.0,10120.0954268204
2023-01-30,8425.452507213487,4613.44942425909,15899.318603676229,8425.452507213487,8425.452507213487,1770.472246951116,1770.472246951116,1770.472246951116,-83.55953958903439,-83.55953958903439,-83.55953958903439,1854.0317865401505,1854.0317865401505,1854.0317865401505,0.0,0.0,0.0,10195.924754164604
2023-01-31,8429.633588851944,4665.926883254798,15523.662424098808,8429.633588851944,8429.633588851944,1711.3254138294687,1711.3254138294687,1711.3254138294687,-62.96425975559234,-62.96425975559234,-62.96425975559234,1774.289673585061,1774.289673585061,1774.289673585061,0.0,0.0,0.0,10140.959002681413
2023-02-01,8433.814670490401,5370.523487726431,16330.865310173776,8433.814670490401,8433.814670490401,2200.021218612314,2200.021218612314,2200.021218612314,516.0666315576776,516.0666315576776,516.0666315576776,1683.9545870546365,1683.9545870546365,1683.9545870546365,0.0,0.0,0.0,10633.835889102715
2023-02-02,8437.995752128858,5533.461026205822,16624.18302991868,8437.995752128858,8437.995752128858,2621.2234649419484,2621.2234649419484,2621.2234649419484,1036.1992877401042,1036.1992877401042,1036.1992877401042,1585.024177201844,1585.024177201844,1585.024177201844,0.0,0.0,0.0,11059.219217070806
2023-02-03,8442.176833767315,3842.739699618597,15636.245744762551,8442.176833767315,8442.176833767315,1135.5629461545795,1135.5629461545795,1135.5629461545795,-344.0282146944932,-344.0282146944932,-344.0282146944932,1479.5911608490726,1479.5911608490726,1479.5911608490726,0.0,0.0,0.0,9577.739779921894
2023-02-04,8446.357915405773,4178.970370319965,14867.927573948295,8446.357915405773,8446.357915405773,530.5816927708813,530.5816927708813,530.5816927708813,-839.2142227104462,-839.2142227104462,-839.2142227104462,1369.7959154813275,1369.7959154813275,1369.7959154813275,0.0,0.0,0.0,8976.939608176655
2023-02-05,8450.53899704423,3692.5193303921556,14891.628948051295,8450.53899704423,8450.53899704423,1035.278508696552,1035.278508696552,1035.278508696552,-222.4996825494525,-222.4996825494525,-222.4996825494525,1257.7781912460043,1257.7781912460043,1257.7781912460043,0.0,0.0,0.0,9485.817505740783
2023-02-06,8454.720078313092,3635.4039987606666,14993.060104024906,8454.720078313092,8454.720078313092,1062.0696123417554,1062.0696123417554,1062.0696123417554,-83.55953958938707,-83.55953958938707,-83.55953958938707,1145.6291519311424,1145.6291519311424,1145.6291519311424,0.0,0.0,0.0,9516.789690654847
2023-02-07,8458.901159581952,3818.307806255651,14946.875277935129,8458.901159581952,8458.901159581952,972.3806926306992,972.3806926306992,972.3806926306992,-62.96425975701172,-62.96425975701172,-62.96425975701172,1035.3449523877107,1035.3449523877107,1035.3449523877107,0.0,0.0,0.0,9431.28185221265
2023-02-08,8463.082240850814,4112.48190271115,15387.578522294865,8463.082240850814,8463.082240850814,1444.8496553107202,1444.8496553107202,1444.8496553107202,516.0666315584979,516.0666315584979,516.0666315584979,928.7830237522223,928.7830237522223,928.7830237522223,0.0,0.0,0.0,9907.931896161534
2023-02-09,8467.263322119676,4887.671742239851,15795.633804140813,8467.263322119676,8467.263322119676,1863.8214576958635,1863.8214576958635,1863.8214576958635,1036.199287739628,1036.199287739628,1036.199287739628,827.6221699562352,827.6221699562352,827.6221699562352,0.0,0.0,0.0,10331.08477981554
2023-02-10,8471.444403388537,3075.6119829415234,14554.27250014554,8471.444403388537,8471.444403388537,389.2992664392101,389.2992664392101,389.2992664392101,-344.02821469588224,-344.02821469588224,-344.02821469588224,733.3274811350924,733.3274811350924,733.3274811350924,0.0,0.0,0.0,8860.743669827747
2023-02-11,8475.625484657397,2402.86946186753,13879.434983138097,8475.625484657397,8475.625484657397,-192.0932785626345,-192.0932785626345,-192.0932785626345,-839.2142227096989,-839.2142227096989,-839.2142227096989,647.1209441470643,647.1209441470643,647.1209441470643,0.0,0.0,0.0,8283.532206094764
2023-02-12,8479.80656592626,3026.4596082317603,14533.493534436457,8479.80656592626,8479.80656592626,347.4587983020285,347.4587983020285,347.4587983020285,-222.49968255154516,-222.49968255154516,-222.49968255154516,569.9584808535737,569.9584808535737,569.9584808535737,0.0,0.0,0.0,8827.265364228288
2023-02-13,8483.987647195121,3384.028867019627,14695.245201909805,8483.987647195121,8483.987647195121,418.9544354905725,418.9544354905725,418.9544354905725,-83.5595395897399,-83.5595395897399,-83.5595395897399,502.51397508031243,502.51397508031243,502.51397508031243,0.0,0.0,0.0,8902.942082685693
2023-02-14,8488.168728463983,3259.566241662136,14215.743328896719,8488.168728463983,8488.168728463983,382.2064041068821,382.2064041068821,382.2064041068821,-62.964259755666,-62.964259755666,-62.964259755666,445.17066386254805,445.17066386254805,445.17066386254805,0.0,0.0,0.0,8870.375132570865
2023-02-15,8492.349809732843,3951.316960574527,15097.494623311937,8492.349809732843,8492.349809732843,914.0867043164541,914.0867043164541,914.0867043164541,516.0666315589883,516.0666315589883,516.0666315589883,398.02007275746575,398.02007275746575,398.02007275746575,0.0,0.0,0.0,9406.436514049297
2023-02-16,8496.530891001705,4139.388379928859,15498.05044509535,8496.530891001705,8496.530891001705,1397.0677617320432,1397.0677617320432,1397.0677617320432,1036.1992877393564,1036.1992877393564,1036.1992877393564,360.86847399268675,360.86847399268675,360.86847399268675,0.0,0.0,0.0,9893.598652733748
2023-02-17,8500.711972270565,3055.1115182040867,13946.236355782788,8500.711972270565,8500.711972270565,-10.777569111417172,-10.777569111417172,-10.777569111417172,-344.0282146967384,-344.0282146967384,-344.0282146967384,333.2506455853212,333.2506455853212,333.2506455853212,0.0,0.0,0.0,8489.934403159148
2023-02-18,8504.893053086002,2607.367919427713,13654.011655688873,8504.893053086002,8504.893053086002,-524.763707899788,-524.763707899788,-524.763707899788,-839.2142227089514,-839.2142227089514,-839.2142227089514,314.4505148091634,314.4505148091634,314.4505148091634,0.0,0.0,0.0,7980.129345186214
2023-02-19,8509.074133901438,3169.0381247304335,13801.73650071852,8509.074133901438,8509.074133901438,81.02840336752314,81.02840336752314,81.02840336752314,-222.4996825516796,-222.4996825516796,-222.4996825516796,303.52808591920274,303.52808591920274,303.52808591920274,0.0,0.0,0.0,8590.102537268962
2023-02-20,8513.255214716875,3271.5392771010634,14449.419577083445,8513.255214716875,8513.255214716875,215.79234533320164,215.79234533320164,215.79234533320164,-83.55953959009256,-83.55953959009256,-83.55953959009256,299.3518849232942,299.3518849232942,299.3518849232942,0.0,0.0,0.0,8729.047560050078
2023-02-21,8517.43629553231,3246.674483004023,14080.333215455386,8517.43629553231,8517.43629553231,237.67174833005922,237.67174833005922,237.67174833005922,-62.96425975582423,-62.96425975582423,-62.96425975582423,300.6360080858834,300.6360080858834,300.6360080858834,0.0,0.0,0.0,8755.10804386237
2023-02-22,8521.617376347747,3551.8325950616854,14925.080882846158,8521.617376347747,8521.617376347747,822.0473713797337,822.0473713797337,822.0473713797337,516.0666315598087,516.0666315598087,516.0666315598087,305.98073981992496,305.98073981992496,305.98073981992496,0.0,0.0,0.0,9343.664747727482
2023-02-23,8525.798457163184,4304.571973502701,15295.405026629907,8525.798457163184,8525.798457163184,1350.1149007659767,1350.1149007659767,1350.1149007659767,1036.1992877412458,1036.1992877412458,1036.1992877412458,313.91561302473065,313.91561302473065,313.91561302473065,0.0,0.0,0.0,9875.913357929161
2023-02-24,8529.97953797862,2671.7180906397684,13987.480434879295,8529.97953797862,8529.97953797862,-21.08449131040715,-21.08449131040715,-21.08449131040715,-344.0282146922113,-344.0282146922113,-344.0282146922113,322.9437233818042,322.9437233818042,322.9437233818042,0.0,0.0,0.0,8508.895046668213
2023-02-25,8534.160618794056,2839.2691807600636,13246.640564013709,8534.160618794056,8534.160618794056,-507.6281424011076,-507.6281424011076,-507.6281424011076,-839.2142227097161,-839.2142227097161,-839.2142227097161,331.58608030860836,331.58608030860836,331.58608030860836,0.0,0.0,0.0,8026.532476392948
2023-02-26,8538.341699609493,3306.62442084649,14629.852600239517,8538.341699609493,8538.341699609493,115.92509949343834,115.92509949343834,115.92509949343834,-222.49968255015517,-222.49968255015517,-222.49968255015517,338.4247820435935,338.4247820435935,338.4247820435935,0.0,0.0,0.0,8654.266799102932
2023-02-27,8542.52278042493,2862.0176233197076,14863.920261533465,8542.52278042493,8542.52278042493,258.5843009318523,258.5843009318523,258.5843009318523,-83.5595395897069,-83.5595395897069,-83.5595395897069,342.1438405215592,342.1438405215592,342.1438405215592,0.0,0.0,0.0,8801.107081356782
2023-02-28,8546.703861240365,3592.0600655247513,14535.60412665662,8546.703861240365,8546.703861240365,278.6022925078226,278.6022925078226,278.6022925078226,-62.964259756742294,-62.964259756742294,-62.964259756742294,341.5665522645649,341.5665522645649,341.5665522645649,0.0,0.0,0.0,8825.306153748188
2023-03-01,8550.884942039896,4186.059476699983,14699.826834136295,8550.884942039896,8550.884942039896,851.7550440318972,851.7550440318972,851.7550440318972,516.0666315606289,516.0666315606289,516.0666315606289,335.6884124712682,335.6884124712682,335.6884124712682,0.0,0.0,0.0,9402.639986071794
2023-03-02,8555.066022839428,4495.848611505846,15424.11641201391,8555.066022839428,8555.066022839428,1359.9039857483067,1359.9039857483067,1359.9039857483067,1036.1992877409741,1036.1992877409741,1036.1992877409741,323.70469800733247,323.70469800733247,323.70469800733247,0.0,0.0,0.0,9914.970008587734
2023-03-03,8559.247103638958,2848.9968212646068,14443.572226431877,8559.247103638958,8559.247103638958,-38.99621720322542,-38.99621720322542,-38.99621720322542,-344.02821469306747,-344.02821469306747,-344.02821469306747,305.031997489842,305.031997489842,305.031997489842,0.0,0.0,0.0,8520.250886435733
2023-03-04,8563.42818443849,2524.76792694001,13473.563054999431,8563.42818443849,8563.42818443849,-559.8910838726673,-559.8910838726673,-559.8910838726673,-839.2142227089686,-839.2142227089686,-839.2142227089686,279.3231388363014,279.3231388363014,279.3231388363014,0.0,0.0,0.0,8003.537100565823
2023-03-05,8567.609265238021,2903.704319587084,14181.464888494933,8567.609265238021,8567.609265238021,23.975469134481774,23.975469134481774,23.975469134481774,-222.49968255028966,-222.49968255028966,-222.49968255028966,246.47515168477142,246.47515168477142,246.47515168477142,0.0,0.0,0.0,8591.584734372504
