transaction_id,customer_id,product_id,quantity,price,total_amount,date,year,month,day,day_of_week,effective_price
1,387,103,4,151.1,604.39,2023-03-03,2023,3,3,4,151.0975
2,52,106,2,421.26,842.51,2023-07-09,2023,7,9,6,421.255
3,451,25,4,383.99,1535.97,2023-05-07,2023,5,7,6,383.9925
4,118,113,1,187.63,187.63,2023-05-02,2023,5,2,1,187.63
5,408,61,3,244.07,732.21,2023-08-05,2023,8,5,5,244.07000000000002
6,264,73,3,6.41,19.24,2023-02-06,2023,2,6,0,6.413333333333333
7,1,42,2,397.81,795.62,2023-02-06,2023,2,6,0,397.81
8,34,13,2,168.05,336.11,2023-01-03,2023,1,3,1,168.055
9,238,114,3,365.85,1097.54,2023-04-30,2023,4,30,6,365.84666666666664
10,15,119,1,123.53,123.53,2023-03-31,2023,3,31,4,123.53
11,368,60,4,13.83,55.32,2023-05-08,2023,5,8,0,13.83
12,133,94,2,185.44,370.88,2023-04-02,2023,4,2,6,185.44
13,345,15,2,124.27,248.54,2023-11-02,2023,11,2,3,124.27
14,426,16,4,175.73,702.93,2023-07-24,2023,7,24,0,175.7325
15,426,19,1,285.84,285.84,2023-07-07,2023,7,7,4,285.84
16,276,107,3,111.9,335.7,2023-02-21,2023,2,21,1,111.89999999999999
17,436,107,3,129.27,387.82,2023-11-30,2023,11,30,3,129.27333333333334
18,247,99,3,125.95,377.85,2023-05-02,2023,5,2,1,125.95
19,51,119,1,152.13,152.13,2023-09-24,2023,9,24,6,152.13
20,11,30,1,487.82,487.82,2023-03-22,2023,3,22,2,487.82
21,499,118,4,151.99,607.98,2023-06-30,2023,6,30,4,151.995
22,366,21,4,27.79,111.17,2023-10-09,2023,10,9,0,27.7925
23,388,59,1,465.57,465.57,2023-05-06,2023,5,6,5,465.57
24,41,16,4,174.87,699.48,2023-10-11,2023,10,11,2,174.87
25,62,98,3,240.9,722.7,2023-11-21,2023,11,21,1,240.9
26,401,48,1,293.7,293.7,2023-05-19,2023,5,19,4,293.7
27,263,67,4,101.18,404.72,2023-08-20,2023,8,20,6,101.18
28,204,33,4,102.66,410.66,2023-03-18,2023,3,18,5,102.665
29,476,28,2,415.03,830.06,2023-11-28,2023,11,28,1,415.03
30,179,2,3,172.5,517.49,2023-04-18,2023,4,18,1,172.49666666666667
31,369,33,4,75.85,303.4,2023-07-23,2023,7,23,6,75.85
32,315,10,1,363.93,363.93,2023-07-16,2023,7,16,6,363.93
