transaction_id,customer_id,product_id,quantity,price,total_amount,date
1,387,103,4,151.1,604.39,2023-03-03
2,52,106,2,421.26,842.51,2023-07-09
3,451,25,4,383.99,1535.97,2023-05-07
4,118,113,1,187.63,187.63,2023-05-02
5,408,61,3,244.07,732.21,2023-08-05
6,264,73,3,6.41,19.24,2023-02-06
7,1,42,2,397.81,795.62,2023-02-06
8,34,13,2,168.05,336.11,2023-01-03
9,238,114,3,365.85,1097.54,2023-04-30
10,15,119,1,123.53,123.53,2023-03-31
11,368,60,4,13.83,55.32,2023-05-08
12,133,94,2,185.44,370.88,2023-04-02
13,345,15,2,124.27,248.54,2023-11-02
14,426,16,4,175.73,702.93,2023-07-24
15,426,19,1,285.84,285.84,2023-07-07
16,276,107,3,111.9,335.7,2023-02-21
17,436,107,3,129.27,387.82,2023-11-30
18,247,99,3,125.95,377.85,2023-05-02
19,51,119,1,152.13,152.13,2023-09-24
20,11,30,1,487.82,487.82,2023-03-22
21,499,118,4,151.99,607.98,2023-06-30
22,366,21,4,27.79,111.17,2023-10-09
23,388,59,1,465.57,465.57,2023-05-06
24,41,16,4,174.87,699.48,2023-10-11
25,62,98,3,240.9,722.7,2023-11-21
26,401,48,1,293.7,293.7,2023-05-19
27,263,67,4,101.18,404.72,2023-08-20
28,204,33,4,102.66,410.66,2023-03-18
29,476,28,2,415.03,830.06,2023-11-28
30,179,2,3,172.5,517.49,2023-04-18
31,369,33,4,75.85,303.4,2023-07-23
32,315,10,1,363.93,363.93,2023-07-16
33,72,106,1,359.35,359.35,2023-03-17
34,362,12,3,447.69,1343.06,2023-08-09
35,40,113,1,218.1,218.1,2023-09-14
36,6,76,4,17.47,69.86,2023-12-29
37,110,85,3,57.46,172.39,2023-04-14
38,243,98,1,307.82,307.82,2023-05-25
39,381,12,1,391.43,391.43,2023-07-21
40,378,13,2,183.77,367.55,2023-03-04
41,118,35,1,115.67,115.67,2023-02-21
42,454,100,2,74.54,149.08,2023-05-12
43,86,85,4,42.54,170.15,2023-04-23
44,352,14,3,215.89,647.68,2023-09-28
45,345,100,1,72.37,72.37,2023-11-15
46,169,41,4,273.85,1095.41,2023-02-11
47,211,97,3,441.41,1324.23,2023-01-16
48,38,9,4,131.78,527.13,2023-09-15
49,155,55,3,405.03,1215.08,2023-07-15
50,252,9,1,108.34,108.34,2023-02-23
51,185,8,4,389.39,1557.55,2023-02-25
52,70,117,1,423.17,423.17,2023-04-27
53,352,113,4,189.53,758.1,2023-04-23
54,393,87,2,514.47,1028.93,2023-04-15
55,374,119,4,119.4,477.59,2023-03-30
56,30,109,2,357.57,715.14,2023-11-29
57,131,9,4,105.61,422.42,2023-05-05
58,393,43,4,222.83,891.34,2023-05-21
59,248,106,3,346.17,1038.52,2023-05-20
60,27,24,2,277.99,555.98,2023-05-03
61,347,69,2,293.52,587.03,2023-04-11
62,130,93,2,256.01,512.01,2023-02-28
63,498,14,1,247.99,247.99,2023-11-12
64,283,113,4,171.26,685.05,2023-02-14
65,60,62,1,340.52,340.52,2023-08-25
66,205,113,2,166.29,332.59,2023-02-28
67,160,33,1,105.6,105.6,2023-07-06
68,435,110,3,124.68,374.03,2023-07-26
69,430,2,1,207.49,207.49,2023-01-26
70,252,50,3,17.07,51.21,2023-06-10
